role_id,role_title,role_description,required_skills
264,Product Designer,"Responsible for airflow, figma, java, flask, pandas tasks and projects","airflow,figma,java,flask,pandas"
265,Marketing Specialist,"Responsible for flask, numpy, tensorflow, kubernetes, unity, aws tasks and projects","flask,numpy,tensorflow,kubernetes,unity,aws"
266,Frontend Administrator,"Responsible for java, javascript, git, pandas, swift tasks and projects","java,javascript,git,pandas,swift"
267,Blockchain Analyst,"Responsible for solidity, django, airflow, c#, flutter tasks and projects","solidity,django,airflow,c#,flutter"
268,Security Architect,"Responsible for unity, c#, java, cloud tasks and projects","unity,c#,java,cloud"
269,Robotics Scientist,"Responsible for tensorflow, adobe xd, c#, swift, linux, solidity tasks and projects","tensorflow,adobe xd,c#,swift,linux,solidity"
270,Security Specialist,"Responsible for flask, python, aws, kotlin, unity tasks and projects","flask,python,aws,kotlin,unity"
271,Marketing Administrator,"Responsible for docker, kubernetes, cloud, javascript tasks and projects","docker,kubernetes,cloud,javascript"
272,Frontend Scientist,"Responsible for css, node, html, docker, sql tasks and projects","css,node,html,docker,sql"
273,AI Designer,"Responsible for c#, spark, javascript, airflow, django, pytorch tasks and projects","c#,spark,javascript,airflow,django,pytorch"
274,Cloud Architect,"Responsible for python, tensorflow, sql, html, numpy, unity tasks and projects","python,tensorflow,sql,html,numpy,unity"
275,Backend Consultant,"Responsible for cloud, flask, react tasks and projects","cloud,flask,react"
276,Embedded Specialist,"Responsible for kubernetes, unity, swift tasks and projects","kubernetes,unity,swift"
277,Full Stack Analyst,"Responsible for sql, c#, flask, python tasks and projects","sql,c#,flask,python"
278,Security Consultant,"Responsible for nlp, spark, cloud tasks and projects","nlp,spark,cloud"
279,Mobile Consultant,"Responsible for airflow, solidity, c#, azure, css tasks and projects","airflow,solidity,c#,azure,css"
280,UI/UX Administrator,"Responsible for java, node, django, azure, flask, solidity tasks and projects","java,node,django,azure,flask,solidity"
281,Data Designer,"Responsible for spark, pandas, tensorflow, git, cloud, c# tasks and projects","spark,pandas,tensorflow,git,cloud,c#"
282,Marketing Consultant,"Responsible for css, kubernetes, airflow, adobe xd tasks and projects","css,kubernetes,airflow,adobe xd"
283,Data Analyst,"Responsible for git, sql, pandas tasks and projects","git,sql,pandas"
284,Embedded Specialist,"Responsible for sql, cloud, react, tensorflow, kotlin, html tasks and projects","sql,cloud,react,tensorflow,kotlin,html"
285,Robotics Consultant,"Responsible for airflow, c++, html tasks and projects","airflow,c++,html"
286,Full Stack Architect,"Responsible for kotlin, cloud, pandas, flask, unity, numpy tasks and projects","kotlin,cloud,pandas,flask,unity,numpy"
287,Security Designer,"Responsible for c#, c++, kubernetes, tensorflow tasks and projects","c#,c++,kubernetes,tensorflow"
288,Cloud Scientist,"Responsible for sql, figma, numpy tasks and projects","sql,figma,numpy"
289,Full Stack Analyst,"Responsible for flask, aws, react, spark, node, unity tasks and projects","flask,aws,react,spark,node,unity"
290,Backend Specialist,"Responsible for c#, tensorflow, spark, adobe xd, python, kubernetes tasks and projects","c#,tensorflow,spark,adobe xd,python,kubernetes"
291,Robotics Consultant,"Responsible for javascript, figma, flutter, pandas, cloud tasks and projects","javascript,figma,flutter,pandas,cloud"
292,Mobile Specialist,"Responsible for numpy, unity, html, adobe xd, swift tasks and projects","numpy,unity,html,adobe xd,swift"
293,Backend Designer,"Responsible for nlp, linux, cloud, kotlin tasks and projects","nlp,linux,cloud,kotlin"
294,Robotics Developer,"Responsible for css, c#, nlp, figma, node tasks and projects","css,c#,nlp,figma,node"
295,Cloud Developer,"Responsible for sql, figma, react, node tasks and projects","sql,figma,react,node"
296,Machine Learning Engineer,"Responsible for unity, aws, flutter, javascript, kubernetes, spark tasks and projects","unity,aws,flutter,javascript,kubernetes,spark"
297,AI Specialist,"Responsible for django, swift, linux tasks and projects","django,swift,linux"
298,Blockchain Analyst,"Responsible for c++, nlp, flutter, adobe xd, tensorflow tasks and projects","c++,nlp,flutter,adobe xd,tensorflow"
299,Cloud Specialist,"Responsible for cloud, unity, solidity, numpy, spark, docker tasks and projects","cloud,unity,solidity,numpy,spark,docker"
300,Data Engineer,"Responsible for airflow, c#, kotlin, flask, django, linux tasks and projects","airflow,c#,kotlin,flask,django,linux"
301,IoT Scientist,"Responsible for kotlin, pytorch, tensorflow, pandas, figma tasks and projects","kotlin,pytorch,tensorflow,pandas,figma"
302,QA Consultant,"Responsible for tensorflow, numpy, solidity, git tasks and projects","tensorflow,numpy,solidity,git"
303,Data Consultant,"Responsible for linux, react, docker, cloud tasks and projects","linux,react,docker,cloud"
304,Marketing Analyst,"Responsible for c++, css, html, django, pytorch tasks and projects","c++,css,html,django,pytorch"
305,Machine Learning Architect,"Responsible for pandas, git, cloud tasks and projects","pandas,git,cloud"
306,Product Scientist,"Responsible for flutter, numpy, airflow, kubernetes, css, docker tasks and projects","flutter,numpy,airflow,kubernetes,css,docker"
307,IoT Designer,"Responsible for react, spark, django, java, cloud, python tasks and projects","react,spark,django,java,cloud,python"
308,Frontend Analyst,"Responsible for cloud, kotlin, nlp, node tasks and projects","cloud,kotlin,nlp,node"
309,Business Architect,"Responsible for unity, aws, cloud, python, pytorch tasks and projects","unity,aws,cloud,python,pytorch"
310,Product Designer,"Responsible for javascript, python, kotlin, c++, java tasks and projects","javascript,python,kotlin,c++,java"
311,Mobile Engineer,"Responsible for python, flutter, docker, css, kubernetes tasks and projects","python,flutter,docker,css,kubernetes"
312,QA Designer,"Responsible for django, azure, solidity, flutter, sql, numpy tasks and projects","django,azure,solidity,flutter,sql,numpy"
313,Backend Architect,"Responsible for java, sql, kubernetes, react, airflow, adobe xd tasks and projects","java,sql,kubernetes,react,airflow,adobe xd"
314,Marketing Architect,"Responsible for react, docker, cloud, adobe xd tasks and projects","react,docker,cloud,adobe xd"
315,Mobile Designer,"Responsible for sql, java, linux, kubernetes tasks and projects","sql,java,linux,kubernetes"
316,Robotics Scientist,"Responsible for javascript, kubernetes, html, flask tasks and projects","javascript,kubernetes,html,flask"
317,Machine Learning Scientist,"Responsible for nlp, python, node, html, aws, adobe xd tasks and projects","nlp,python,node,html,aws,adobe xd"
318,Blockchain Architect,"Responsible for django, flask, kotlin, sql, javascript, git tasks and projects","django,flask,kotlin,sql,javascript,git"
319,Machine Learning Manager,"Responsible for node, java, azure, adobe xd tasks and projects","node,java,azure,adobe xd"
320,Backend Administrator,"Responsible for node, nlp, swift, c# tasks and projects","node,nlp,swift,c#"
321,Security Manager,"Responsible for c#, kubernetes, solidity tasks and projects","c#,kubernetes,solidity"
322,UI/UX Designer,"Responsible for react, linux, django, git, unity tasks and projects","react,linux,django,git,unity"
323,Backend Designer,"Responsible for adobe xd, kotlin, airflow, c# tasks and projects","adobe xd,kotlin,airflow,c#"
324,QA Scientist,"Responsible for numpy, c#, azure, airflow, adobe xd tasks and projects","numpy,c#,azure,airflow,adobe xd"
325,Machine Learning Analyst,"Responsible for c#, adobe xd, solidity tasks and projects","c#,adobe xd,solidity"
326,DevOps Analyst,"Responsible for react, spark, docker tasks and projects","react,spark,docker"
327,Business Engineer,"Responsible for django, css, tensorflow tasks and projects","django,css,tensorflow"
328,Game Architect,"Responsible for tensorflow, swift, react tasks and projects","tensorflow,swift,react"
329,Blockchain Developer,"Responsible for git, tensorflow, cloud, solidity tasks and projects","git,tensorflow,cloud,solidity"
330,Business Manager,"Responsible for nlp, css, unity, kotlin tasks and projects","nlp,css,unity,kotlin"
331,AI Analyst,"Responsible for cloud, flutter, java, spark, solidity, react tasks and projects","cloud,flutter,java,spark,solidity,react"
332,QA Consultant,"Responsible for python, solidity, react, adobe xd tasks and projects","python,solidity,react,adobe xd"
333,Business Analyst,"Responsible for kotlin, python, react, flutter, node tasks and projects","kotlin,python,react,flutter,node"
334,Product Engineer,"Responsible for docker, django, flask, html tasks and projects","docker,django,flask,html"
335,Machine Learning Specialist,"Responsible for nlp, react, linux tasks and projects","nlp,react,linux"
336,AI Specialist,"Responsible for sql, spark, cloud tasks and projects","sql,spark,cloud"
337,Game Designer,"Responsible for c#, pytorch, aws, kotlin tasks and projects","c#,pytorch,aws,kotlin"
338,Business Specialist,"Responsible for nlp, c++, kubernetes, django, c#, javascript tasks and projects","nlp,c++,kubernetes,django,c#,javascript"
339,Security Specialist,"Responsible for swift, figma, adobe xd, c++ tasks and projects","swift,figma,adobe xd,c++"
340,Embedded Specialist,"Responsible for pytorch, numpy, kubernetes, react, c++, azure tasks and projects","pytorch,numpy,kubernetes,react,c++,azure"
341,Frontend Specialist,"Responsible for pytorch, kotlin, azure tasks and projects","pytorch,kotlin,azure"
342,Backend Developer,"Responsible for swift, solidity, linux, node, aws, html tasks and projects","swift,solidity,linux,node,aws,html"
343,QA Engineer,"Responsible for figma, linux, docker, c#, flask tasks and projects","figma,linux,docker,c#,flask"
344,Machine Learning Consultant,"Responsible for python, docker, azure, django, javascript tasks and projects","python,docker,azure,django,javascript"
345,IoT Administrator,"Responsible for kubernetes, unity, linux, node, c++ tasks and projects","kubernetes,unity,linux,node,c++"
346,Business Developer,"Responsible for cloud, unity, react, adobe xd, docker tasks and projects","cloud,unity,react,adobe xd,docker"
347,Mobile Manager,"Responsible for numpy, solidity, spark, linux tasks and projects","numpy,solidity,spark,linux"
348,Product Administrator,"Responsible for pandas, cloud, java, adobe xd tasks and projects","pandas,cloud,java,adobe xd"
349,IoT Scientist,"Responsible for css, kubernetes, html, nlp, adobe xd, tensorflow tasks and projects","css,kubernetes,html,nlp,adobe xd,tensorflow"
350,Business Specialist,"Responsible for kotlin, git, spark, java, linux, tensorflow tasks and projects","kotlin,git,spark,java,linux,tensorflow"
351,Security Manager,"Responsible for solidity, node, kotlin, aws, java, sql tasks and projects","solidity,node,kotlin,aws,java,sql"
352,IoT Consultant,"Responsible for swift, html, linux, adobe xd, cloud tasks and projects","swift,html,linux,adobe xd,cloud"
353,QA Scientist,"Responsible for aws, pytorch, docker tasks and projects","aws,pytorch,docker"
354,Backend Developer,"Responsible for docker, figma, django, python, react tasks and projects","docker,figma,django,python,react"
355,Machine Learning Engineer,"Responsible for python, c++, kotlin, tensorflow, swift tasks and projects","python,c++,kotlin,tensorflow,swift"
356,Backend Analyst,"Responsible for kotlin, react, cloud tasks and projects","kotlin,react,cloud"
357,Security Designer,"Responsible for sql, css, flask, docker, pandas tasks and projects","sql,css,flask,docker,pandas"
358,Marketing Consultant,"Responsible for spark, kotlin, css, nlp, git tasks and projects","spark,kotlin,css,nlp,git"
359,AI Architect,"Responsible for aws, spark, solidity, swift, java, html tasks and projects","aws,spark,solidity,swift,java,html"
360,Machine Learning Consultant,"Responsible for figma, azure, spark tasks and projects","figma,azure,spark"
361,Robotics Analyst,"Responsible for pandas, aws, figma, spark, django, cloud tasks and projects","pandas,aws,figma,spark,django,cloud"
362,Embedded Analyst,"Responsible for pandas, java, aws, nlp, html tasks and projects","pandas,java,aws,nlp,html"
363,Embedded Developer,"Responsible for unity, kubernetes, node tasks and projects","unity,kubernetes,node"
364,DevOps Designer,"Responsible for node, git, aws, swift tasks and projects","node,git,aws,swift"
365,UI/UX Consultant,"Responsible for css, kotlin, spark, c#, git, c++ tasks and projects","css,kotlin,spark,c#,git,c++"
366,Machine Learning Consultant,"Responsible for swift, numpy, tensorflow, docker tasks and projects","swift,numpy,tensorflow,docker"
367,Data Architect,"Responsible for solidity, django, kotlin, unity tasks and projects","solidity,django,kotlin,unity"
368,Security Designer,"Responsible for nlp, react, docker tasks and projects","nlp,react,docker"
369,IoT Specialist,"Responsible for flask, flutter, solidity tasks and projects","flask,flutter,solidity"
370,Marketing Manager,"Responsible for sql, linux, git, python tasks and projects","sql,linux,git,python"
371,Frontend Developer,"Responsible for react, node, pytorch, docker, swift tasks and projects","react,node,pytorch,docker,swift"
372,Backend Designer,"Responsible for tensorflow, html, flutter, adobe xd tasks and projects","tensorflow,html,flutter,adobe xd"
373,Business Consultant,"Responsible for numpy, solidity, python, kotlin tasks and projects","numpy,solidity,python,kotlin"
374,Machine Learning Specialist,"Responsible for html, c#, flask, azure, sql, aws tasks and projects","html,c#,flask,azure,sql,aws"
375,UI/UX Consultant,"Responsible for sql, html, javascript, figma tasks and projects","sql,html,javascript,figma"
376,Robotics Developer,"Responsible for solidity, flask, css, aws, swift, react tasks and projects","solidity,flask,css,aws,swift,react"
377,Backend Designer,"Responsible for solidity, c#, linux, spark, unity, nlp tasks and projects","solidity,c#,linux,spark,unity,nlp"
378,Product Consultant,"Responsible for css, pytorch, c++, figma, cloud, numpy tasks and projects","css,pytorch,c++,figma,cloud,numpy"
379,DevOps Specialist,"Responsible for numpy, airflow, git tasks and projects","numpy,airflow,git"
380,IoT Specialist,"Responsible for docker, linux, flask, python tasks and projects","docker,linux,flask,python"
381,Marketing Scientist,"Responsible for numpy, javascript, pytorch, kubernetes, linux tasks and projects","numpy,javascript,pytorch,kubernetes,linux"
382,AI Specialist,"Responsible for figma, unity, java, azure, pandas tasks and projects","figma,unity,java,azure,pandas"
383,AI Designer,"Responsible for airflow, figma, unity, c++, kotlin, swift tasks and projects","airflow,figma,unity,c++,kotlin,swift"
384,Blockchain Consultant,"Responsible for nlp, kubernetes, javascript tasks and projects","nlp,kubernetes,javascript"
385,Backend Specialist,"Responsible for airflow, java, solidity, nlp tasks and projects","airflow,java,solidity,nlp"
386,Machine Learning Developer,"Responsible for sql, pytorch, adobe xd, kotlin, flask, pandas tasks and projects","sql,pytorch,adobe xd,kotlin,flask,pandas"
387,Embedded Consultant,"Responsible for react, aws, node tasks and projects","react,aws,node"
388,Frontend Consultant,"Responsible for javascript, docker, kubernetes, pytorch, kotlin tasks and projects","javascript,docker,kubernetes,pytorch,kotlin"
389,Embedded Analyst,"Responsible for pytorch, kubernetes, c++, flask, cloud, flutter tasks and projects","pytorch,kubernetes,c++,flask,cloud,flutter"
390,IoT Consultant,"Responsible for azure, figma, kotlin, java, pytorch tasks and projects","azure,figma,kotlin,java,pytorch"
391,UI/UX Consultant,"Responsible for azure, c#, airflow tasks and projects","azure,c#,airflow"
392,Business Analyst,"Responsible for javascript, c++, azure tasks and projects","javascript,c++,azure"
393,Blockchain Specialist,"Responsible for django, flutter, flask tasks and projects","django,flutter,flask"
394,AI Administrator,"Responsible for azure, aws, numpy, c#, pandas tasks and projects","azure,aws,numpy,c#,pandas"
395,Backend Manager,"Responsible for sql, flutter, docker, java, azure tasks and projects","sql,flutter,docker,java,azure"
396,Frontend Manager,"Responsible for linux, spark, pandas, nlp, python tasks and projects","linux,spark,pandas,nlp,python"
397,Mobile Designer,"Responsible for figma, java, spark, cloud, javascript, nlp tasks and projects","figma,java,spark,cloud,javascript,nlp"
398,AI Designer,"Responsible for kubernetes, flask, azure, django tasks and projects","kubernetes,flask,azure,django"
399,Full Stack Engineer,"Responsible for javascript, tensorflow, solidity, linux, unity, swift tasks and projects","javascript,tensorflow,solidity,linux,unity,swift"
400,Game Architect,"Responsible for react, linux, solidity, azure tasks and projects","react,linux,solidity,azure"
401,Embedded Administrator,"Responsible for java, django, pytorch, cloud, airflow tasks and projects","java,django,pytorch,cloud,airflow"
402,Business Engineer,"Responsible for pytorch, spark, azure, airflow tasks and projects","pytorch,spark,azure,airflow"
403,Robotics Engineer,"Responsible for flutter, aws, swift, spark, kubernetes, git tasks and projects","flutter,aws,swift,spark,kubernetes,git"
404,Machine Learning Designer,"Responsible for kotlin, java, css, flutter, python, spark tasks and projects","kotlin,java,css,flutter,python,spark"
405,Marketing Engineer,"Responsible for aws, airflow, swift, node, pytorch, git tasks and projects","aws,airflow,swift,node,pytorch,git"
406,DevOps Scientist,"Responsible for kubernetes, css, solidity, numpy tasks and projects","kubernetes,css,solidity,numpy"
407,Cloud Designer,"Responsible for cloud, airflow, figma, numpy, adobe xd tasks and projects","cloud,airflow,figma,numpy,adobe xd"
408,IoT Specialist,"Responsible for kotlin, cloud, airflow, pytorch tasks and projects","kotlin,cloud,airflow,pytorch"
409,Mobile Architect,"Responsible for kubernetes, figma, javascript, python tasks and projects","kubernetes,figma,javascript,python"
410,AI Engineer,"Responsible for html, cloud, pytorch, django, python tasks and projects","html,cloud,pytorch,django,python"
411,QA Developer,"Responsible for nlp, kubernetes, node, git, tensorflow tasks and projects","nlp,kubernetes,node,git,tensorflow"
412,Cloud Manager,"Responsible for javascript, c++, spark, azure, nlp, docker tasks and projects","javascript,c++,spark,azure,nlp,docker"
413,Product Consultant,"Responsible for flask, swift, sql, c# tasks and projects","flask,swift,sql,c#"
414,Frontend Consultant,"Responsible for nlp, css, spark, kubernetes, react tasks and projects","nlp,css,spark,kubernetes,react"
415,Product Architect,"Responsible for numpy, unity, figma, kubernetes tasks and projects","numpy,unity,figma,kubernetes"
416,IoT Consultant,"Responsible for azure, sql, kotlin, c++, flask tasks and projects","azure,sql,kotlin,c++,flask"
417,Machine Learning Administrator,"Responsible for cloud, flutter, solidity, javascript tasks and projects","cloud,flutter,solidity,javascript"
418,IoT Architect,"Responsible for javascript, airflow, html tasks and projects","javascript,airflow,html"
419,Frontend Developer,"Responsible for html, linux, c++, javascript tasks and projects","html,linux,c++,javascript"
420,Backend Engineer,"Responsible for node, html, git, unity, aws tasks and projects","node,html,git,unity,aws"
421,Cloud Analyst,"Responsible for html, javascript, linux, solidity tasks and projects","html,javascript,linux,solidity"
422,IoT Architect,"Responsible for kotlin, numpy, adobe xd, azure, docker, css tasks and projects","kotlin,numpy,adobe xd,azure,docker,css"
423,Frontend Analyst,"Responsible for spark, django, nlp, javascript, html, unity tasks and projects","spark,django,nlp,javascript,html,unity"
424,Machine Learning Administrator,"Responsible for flutter, pandas, pytorch, swift, node, django tasks and projects","flutter,pandas,pytorch,swift,node,django"
425,Business Scientist,"Responsible for unity, react, spark, cloud tasks and projects","unity,react,spark,cloud"
426,Business Designer,"Responsible for python, c#, pytorch tasks and projects","python,c#,pytorch"
427,Robotics Developer,"Responsible for css, html, git, figma, javascript, pandas tasks and projects","css,html,git,figma,javascript,pandas"
428,Blockchain Architect,"Responsible for flask, adobe xd, solidity, css tasks and projects","flask,adobe xd,solidity,css"
429,Frontend Administrator,"Responsible for react, css, adobe xd, cloud, pandas, solidity tasks and projects","react,css,adobe xd,cloud,pandas,solidity"
430,IoT Designer,"Responsible for figma, pytorch, kotlin tasks and projects","figma,pytorch,kotlin"
431,QA Engineer,"Responsible for docker, aws, spark, kubernetes tasks and projects","docker,aws,spark,kubernetes"
432,Cloud Scientist,"Responsible for tensorflow, unity, kubernetes tasks and projects","tensorflow,unity,kubernetes"
433,Machine Learning Developer,"Responsible for linux, node, figma, spark, cloud, sql tasks and projects","linux,node,figma,spark,cloud,sql"
434,UI/UX Manager,"Responsible for numpy, cloud, flutter, c#, sql, java tasks and projects","numpy,cloud,flutter,c#,sql,java"
435,Full Stack Architect,"Responsible for python, docker, flask, numpy, c++ tasks and projects","python,docker,flask,numpy,c++"
436,Marketing Manager,"Responsible for pandas, sql, javascript, cloud, tensorflow tasks and projects","pandas,sql,javascript,cloud,tensorflow"
437,Data Architect,"Responsible for cloud, linux, html tasks and projects","cloud,linux,html"
438,IoT Analyst,"Responsible for sql, node, tensorflow, react, java, linux tasks and projects","sql,node,tensorflow,react,java,linux"
439,Robotics Specialist,"Responsible for unity, kotlin, kubernetes tasks and projects","unity,kotlin,kubernetes"
440,Machine Learning Designer,"Responsible for unity, numpy, sql tasks and projects","unity,numpy,sql"
441,Marketing Designer,"Responsible for flutter, c#, react, python, spark, javascript tasks and projects","flutter,c#,react,python,spark,javascript"
442,Cloud Administrator,"Responsible for css, airflow, spark tasks and projects","css,airflow,spark"
443,Robotics Architect,"Responsible for javascript, pandas, css, sql tasks and projects","javascript,pandas,css,sql"
444,Cloud Engineer,"Responsible for swift, nlp, figma, sql tasks and projects","swift,nlp,figma,sql"
445,IoT Consultant,"Responsible for nlp, docker, node, airflow, flask, adobe xd tasks and projects","nlp,docker,node,airflow,flask,adobe xd"
446,Frontend Architect,"Responsible for pandas, numpy, aws, git, node tasks and projects","pandas,numpy,aws,git,node"
447,Product Specialist,"Responsible for flutter, solidity, pytorch tasks and projects","flutter,solidity,pytorch"
448,QA Administrator,"Responsible for nlp, azure, react, java, git, css tasks and projects","nlp,azure,react,java,git,css"
449,Blockchain Administrator,"Responsible for spark, azure, unity, css tasks and projects","spark,azure,unity,css"
450,QA Architect,"Responsible for c++, git, sql, react, azure, css tasks and projects","c++,git,sql,react,azure,css"
451,Data Specialist,"Responsible for unity, airflow, spark tasks and projects","unity,airflow,spark"
452,IoT Administrator,"Responsible for react, nlp, kotlin, swift, node tasks and projects","react,nlp,kotlin,swift,node"
453,Mobile Consultant,"Responsible for java, nlp, javascript, sql tasks and projects","java,nlp,javascript,sql"
454,AI Scientist,"Responsible for numpy, tensorflow, adobe xd, sql tasks and projects","numpy,tensorflow,adobe xd,sql"
455,Embedded Scientist,"Responsible for react, swift, airflow tasks and projects","react,swift,airflow"
456,Marketing Administrator,"Responsible for solidity, css, node, c++ tasks and projects","solidity,css,node,c++"
457,Game Developer,"Responsible for nlp, aws, linux tasks and projects","nlp,aws,linux"
458,Backend Manager,"Responsible for html, c#, unity tasks and projects","html,c#,unity"
459,Business Designer,"Responsible for c#, figma, java, nlp, react, spark tasks and projects","c#,figma,java,nlp,react,spark"
460,Product Engineer,"Responsible for java, pytorch, css, javascript, figma, kubernetes tasks and projects","java,pytorch,css,javascript,figma,kubernetes"
461,Frontend Developer,"Responsible for solidity, c++, azure tasks and projects","solidity,c++,azure"
462,Embedded Analyst,"Responsible for sql, react, nlp tasks and projects","sql,react,nlp"
463,Cloud Architect,"Responsible for node, adobe xd, django, solidity, flask tasks and projects","node,adobe xd,django,solidity,flask"
464,Blockchain Manager,"Responsible for tensorflow, java, figma, react tasks and projects","tensorflow,java,figma,react"
465,UI/UX Specialist,"Responsible for solidity, kubernetes, html, css, numpy, nlp tasks and projects","solidity,kubernetes,html,css,numpy,nlp"
466,Machine Learning Administrator,"Responsible for docker, pandas, node, html, azure tasks and projects","docker,pandas,node,html,azure"
467,Business Specialist,"Responsible for c#, spark, html, nlp tasks and projects","c#,spark,html,nlp"
468,IoT Specialist,"Responsible for unity, cloud, airflow, flask, azure, django tasks and projects","unity,cloud,airflow,flask,azure,django"
469,Frontend Analyst,"Responsible for c++, java, kubernetes, c#, tensorflow, kotlin tasks and projects","c++,java,kubernetes,c#,tensorflow,kotlin"
470,Robotics Developer,"Responsible for c#, tensorflow, aws, airflow, adobe xd, c++ tasks and projects","c#,tensorflow,aws,airflow,adobe xd,c++"
471,Robotics Manager,"Responsible for sql, docker, cloud, solidity, numpy, django tasks and projects","sql,docker,cloud,solidity,numpy,django"
472,Robotics Architect,"Responsible for javascript, tensorflow, numpy tasks and projects","javascript,tensorflow,numpy"
473,Embedded Scientist,"Responsible for pandas, unity, html, adobe xd, python tasks and projects","pandas,unity,html,adobe xd,python"
474,Blockchain Consultant,"Responsible for c++, nlp, kotlin tasks and projects","c++,nlp,kotlin"
475,Marketing Architect,"Responsible for c#, css, sql, javascript, kubernetes tasks and projects","c#,css,sql,javascript,kubernetes"
476,Full Stack Manager,"Responsible for unity, solidity, nlp tasks and projects","unity,solidity,nlp"
477,Data Analyst,"Responsible for css, kotlin, django, azure tasks and projects","css,kotlin,django,azure"
478,AI Analyst,"Responsible for c#, azure, adobe xd, linux tasks and projects","c#,azure,adobe xd,linux"
479,Product Consultant,"Responsible for cloud, c++, javascript, pytorch, flutter, django tasks and projects","cloud,c++,javascript,pytorch,flutter,django"
480,Backend Scientist,"Responsible for numpy, django, react, linux tasks and projects","numpy,django,react,linux"
481,Robotics Architect,"Responsible for figma, javascript, pandas, pytorch, git tasks and projects","figma,javascript,pandas,pytorch,git"
482,Mobile Architect,"Responsible for azure, react, swift, html tasks and projects","azure,react,swift,html"
483,Embedded Developer,"Responsible for figma, sql, cloud tasks and projects","figma,sql,cloud"
484,Backend Analyst,"Responsible for kubernetes, numpy, azure, sql, django tasks and projects","kubernetes,numpy,azure,sql,django"
485,Mobile Administrator,"Responsible for swift, spark, nlp, c++, git, pandas tasks and projects","swift,spark,nlp,c++,git,pandas"
486,Robotics Specialist,"Responsible for swift, react, nlp, spark, tensorflow tasks and projects","swift,react,nlp,spark,tensorflow"
487,Game Architect,"Responsible for cloud, solidity, docker tasks and projects","cloud,solidity,docker"
488,Security Analyst,"Responsible for azure, unity, kubernetes tasks and projects","azure,unity,kubernetes"
489,Mobile Designer,"Responsible for pandas, cloud, kubernetes, git tasks and projects","pandas,cloud,kubernetes,git"
490,UI/UX Analyst,"Responsible for adobe xd, kotlin, c++ tasks and projects","adobe xd,kotlin,c++"
491,IoT Consultant,"Responsible for c++, linux, flask tasks and projects","c++,linux,flask"
492,Backend Consultant,"Responsible for flutter, linux, node, aws, adobe xd, kotlin tasks and projects","flutter,linux,node,aws,adobe xd,kotlin"
493,Game Manager,"Responsible for flutter, unity, nlp, cloud, linux, c++ tasks and projects","flutter,unity,nlp,cloud,linux,c++"
494,IoT Manager,"Responsible for sql, spark, kubernetes tasks and projects","sql,spark,kubernetes"
495,Robotics Architect,"Responsible for kotlin, airflow, flutter tasks and projects","kotlin,airflow,flutter"
496,Cloud Consultant,"Responsible for unity, css, kubernetes, solidity, docker, cloud tasks and projects","unity,css,kubernetes,solidity,docker,cloud"
497,Data Specialist,"Responsible for java, figma, docker, airflow, flask, python tasks and projects","java,figma,docker,airflow,flask,python"
498,QA Engineer,"Responsible for numpy, sql, tensorflow, css, pytorch, pandas tasks and projects","numpy,sql,tensorflow,css,pytorch,pandas"
499,Marketing Architect,"Responsible for airflow, azure, unity tasks and projects","airflow,azure,unity"
500,DevOps Engineer,"Responsible for aws, solidity, javascript, pytorch, kubernetes tasks and projects","aws,solidity,javascript,pytorch,kubernetes"
501,QA Analyst,"Responsible for nlp, css, react tasks and projects","nlp,css,react"
502,Backend Engineer,"Responsible for figma, javascript, nlp, sql, node tasks and projects","figma,javascript,nlp,sql,node"
503,Machine Learning Specialist,"Responsible for figma, pytorch, c#, git tasks and projects","figma,pytorch,c#,git"
504,Product Consultant,"Responsible for linux, python, aws tasks and projects","linux,python,aws"
505,DevOps Consultant,"Responsible for git, python, flask, adobe xd, c++, kotlin tasks and projects","git,python,flask,adobe xd,c++,kotlin"
506,Mobile Consultant,"Responsible for numpy, git, html, pytorch, aws, nlp tasks and projects","numpy,git,html,pytorch,aws,nlp"
507,Full Stack Specialist,"Responsible for c++, css, pytorch tasks and projects","c++,css,pytorch"
508,Data Consultant,"Responsible for azure, flutter, css tasks and projects","azure,flutter,css"
509,IoT Analyst,"Responsible for tensorflow, react, azure, solidity, git tasks and projects","tensorflow,react,azure,solidity,git"
510,Business Administrator,"Responsible for aws, javascript, docker, cloud tasks and projects","aws,javascript,docker,cloud"
511,Game Manager,"Responsible for c#, pandas, cloud, flutter tasks and projects","c#,pandas,cloud,flutter"
512,Marketing Analyst,"Responsible for python, pytorch, docker, kubernetes tasks and projects","python,pytorch,docker,kubernetes"
513,Backend Analyst,"Responsible for kubernetes, flask, css, django, swift, node tasks and projects","kubernetes,flask,css,django,swift,node"
514,Game Specialist,"Responsible for git, java, html, docker tasks and projects","git,java,html,docker"
515,Game Designer,"Responsible for figma, flutter, c#, numpy tasks and projects","figma,flutter,c#,numpy"
516,Business Developer,"Responsible for tensorflow, spark, airflow, linux, azure, kotlin tasks and projects","tensorflow,spark,airflow,linux,azure,kotlin"
517,Full Stack Administrator,"Responsible for adobe xd, docker, unity, kubernetes tasks and projects","adobe xd,docker,unity,kubernetes"
518,Security Engineer,"Responsible for django, kotlin, tensorflow, figma, css, aws tasks and projects","django,kotlin,tensorflow,figma,css,aws"
519,Full Stack Designer,"Responsible for kubernetes, pandas, adobe xd tasks and projects","kubernetes,pandas,adobe xd"
